Technique,GCMS,,,,,,,,,,
Date,2019_02_18,,,,,,,,,,
Method_file,Method 5,,,,,,,,,,
Column,HP-5,,,,,,,,,,
Derivatisation_details,75 uL EtONH2.HCl; 30 mins @ 70 oC; 25 uL N,O-Bis(trimethylsilyl)trifluoroacetamide; 30 mins @ 70 oC; dilution to 200 uL with internal standard solution,,,,,,,,,
internal_standard_concentration,0.0008,,,,,,,,,,
internal_standard_position,6.925,,,,,,,,,,
calibration_model,quadratic,,,,,,,,,,
,start_calibration,GCMS,,start_boundaries,GCMS,,,,,,
galactose 2,0.045331104,0,0.305253578,0,-0.053400681,0,0,0,0,14.245,14.27
fructose,0.418915761,0,2.544664038,0,-0.251188356,0,0,0,0,14.2527,14.275
sorbose,0.466222745,0,2.003193851,0,-0.265887725,0,0,0,0,14.255,14.29
aldopentose_alpha_branch_RSS,0.185785204,0,2.195753647,0,-0.281269578,0,0,0,0,14.38,14.42
allose 1,-0.144957754,0,3.475778666,0,-0.56165765,0,0,0,0,14.48,14.505
aldopentose_alpha_branch_RRS,0.185785204,0,2.195753647,0,-0.281269578,0,0,0,0,14.552,14.564
mannose 1,0.146552814,0,2.544854712,0,-0.290299885,0,0,0,0,14.59,14.61
gulose 1,0.060119712,0,2.627766491,0,-0.339937197,0,0,0,0,14.6,14.615
galactose 1,0.053891756,0,1.577877341,0,-0.190289265,0,0,0,0,14.685,14.7
idose 1,-0.091543865,0,2.557284694,0,-0.319838836,0,0,0,0,14.69,14.707
talose 1,0.099495073,0,2.800017896,0,-0.401845257,0,0,0,0,14.73,14.75
altrose 1,0.228832938,0,1.917342144,0,-0.302015176,0,0,0,0,14.77,14.79
glucose 1,0.5476313,0,0.908500396,0,-0.022441339,0,0,0,0,14.825,14.845
altrose 2,0.06885263,0,0.405186115,0,-0.073425764,0,0,0,0,14.975,15
mannose 2,0.073446761,0,0.14752015,0,-0.019152645,0,0,0,0,15.03,15.06
allose 2,0.008981539,0,0.46053266,0,-0.104556708,0,0,0,0,15.08,15.105
gulose 2,0.096250654,0,0.227170474,0,-0.044077957,0,0,0,0,15.19,15.22
talose 2,0.050744558,0,0.362844246,0,-0.081379661,0,0,0,0,15.265,15.29
glucose 2,0.134782028,0,0.082220113,0,-0.015995841,0,0,0,0,15.275,15.3
idose 2,0.073882267,0,0.265136297,0,-0.040600081,0,0,0,0,15.295,15.32
aldopentose_alpha_branch_RSR,0.185785204,0,2.195753647,0,-0.281269578,0,0,0,0,16.28,16.36
alphaDglycerogalactoheptose 1,0.159740756,0,1.543139325,0,-0.194382177,0,0,0,0,18.9,18.92
galactoheptose 1,-0.283654308,0,3.380126081,0,-0.442569895,0,0,0,0,19.083,19.094
alphaDglycerogalactoheptose 2,0.111564042,0,0.219629057,0,-0.031285445,0,0,0,0,19.48,19.495
galactoheptose 2,0.023004181,0,0.455219088,0,-0.072892002,0,0,0,0,19.51,19.525
2-ketopentose_beta_branch,None,0,None,0,None,0,0,0,0,None,None
aldopentose_gamma_branch_RR,None,0,None,0,None,0,0,0,0,None,None
aldopentose_gamma_branch_RS,None,0,None,0,None,0,0,0,0,None,None
aldopentose_beta_branch_RSR,None,0,None,0,None,0,0,0,0,None,None
aldopentose_beta_branch_SRR,None,0,None,0,None,0,0,0,0,None,None
aldopentose_beta_branch_SSR,None,0,None,0,None,0,0,0,0,None,None
formaldehyde,None,0,None,0,None,0,0,0,0,None,None
glyceraldehyde 1,None,0,None,0,None,0,0,0,0,None,None
glyceraldehyde 2,None,0,None,0,None,0,0,0,0,None,None
glycerol,None,0,None,0,None,0,0,0,0,None,None
glycolaldehyde,None,0,None,0,None,0,0,0,0,None,None
glycolaldehyde_dimer,None,0,None,0,None,0,0,0,0,None,None
hexitol 1,None,0,None,0,None,0,0,0,0,None,None
hexitol 2,None,0,None,0,None,0,0,0,0,None,None
,end_calibration,,,,end_boundaries,,,,,,
