Technique,GCMS,,,,,,,,,,
Date,2019_02_18,,,,,,,,,,
Method_file,Method 5,,,,,,,,,,
Column,HP-5,,,,,,,,,,
Derivatisation_details,75 uL EtONH2.HCl; 30 mins @ 70 oC; 25 uL N,O-Bis(trimethylsilyl)trifluoroacetamide; 30 mins @ 70 oC; dilution to 200 uL with internal standard solution,,,,,,,,,
internal_standard_concentration,0.0008,,,,,,,,,,
internal_standard_position,7,,,,,,,,,,
calibration_model,quadratic,,,,,,,,,,
,start_calibration,,,,,,,,,start_boundaries,
altrose 1,0,0,1.8265,0,0,0,0,0,0,14.78139023,14.81139023
altrose 2,0,0,1.8265,0,0,0,0,0,0,14.99139023,15.03139023
arabinose 1,0,0,2.05,0,0,0,0,0,0,10.934,10.9595
arabinose 2,0,0,2.05,0,0,0,0,0,0,10.9595,11.024
alphaDglycerogalactoheptose 1,0,0,3.11,0,0,0,0,0,0,19.54,19.6
alphaDglycerogalactoheptose 2,0,0,3.11,0,0,0,0,0,0,18.98,19.08
C6,None,0,None,0,None,0,0,0,0,None,None
DHA_DHA1 1,None,0,None,0,None,0,0,0,0,None,None
dihydroxyacetone,None,0,None,0,None,0,0,0,0,None,None
dodecane,None,0,None,0,None,0,0,0,0,None,None
erythritol,0,0,1.53,0,0,0,0,0,0,7.85,7.88
erythrose 1,0,0,1.53,0,0,0,0,0,0,8.2,8.3
erythrose 2,0,0,1.53,0,0,0,0,0,0,8.04,8.14
erythrulose 1,0.134780103,0,0.196426555,0,0,0,0,0,0,8.27,8.31
erythrulose 2,0.143518998,0,0.222203628,0,0,0,0,0,0,8.37,8.41
formaldehyde,None,0,None,0,None,0,0,0,0,None,None
fructose,0,0,1.32,0,0,0,0,0,0,14.35,14.45
galactoheptose 1,0,0,2.79,0,0,0,0,0,0,19.15,19.25
galactoheptose 2,0,0,2.79,0,0,0,0,0,0,19.6,19.67
galactose 1,0,0,2.06,0,0,0,0,0,0,14.79,14.89
galactose 2,0,0,2.06,0,0,0,0,0,0,15.36,15.46
glucose 1,0,0,2.6,0,0,0,0,0,0,14.97,15.03
glucose 2,0,0,2.6,0,0,0,0,0,0,15.43,15.5
glyceraldehyde 1,None,0,None,0,None,0,0,0,0,None,None
glyceraldehyde 2,None,0,None,0,None,0,0,0,0,None,None
glycerol,None,0,None,0,None,0,0,0,0,None,None
glycolaldehyde,None,0,None,0,None,0,0,0,0,None,None
glycolaldehyde_dimer,None,0,None,0,None,0,0,0,0,None,None
gulose 1,0,0,1.8265,0,0,0,0,0,0,14.61139023,14.63139023
gulose 2,0,0,1.8265,0,0,0,0,0,0,15.21139023,15.23139023
hexitol 1,None,0,None,0,None,0,0,0,0,16.744,16.748
hexitol 2,None,0,None,0,None,0,0,0,0,16.802,16.806
hexitol 3,None,0,None,0,None,0,0,0,0,16.1,16.14
idose 1,0,0,1.8265,0,0,0,0,0,0,14.66139023,14.72139023
idose 2,0,0,1.8265,0,0,0,0,0,0,15.30139023,15.32139023
ketose_C4,None,0,None,0,None,0,0,0,0,None,None
ketose_C5,None,0,None,0,None,0,0,0,0,None,None
ketose_C6,None,0,None,0,None,0,0,0,0,None,None
ketose_C7,None,0,None,0,None,0,0,0,0,None,None
lyxose 1,0,0,2.32,0,0,0,0,0,0,10.76,10.78
lyxose 2,0,0,2.32,0,0,0,0,0,0,10.896,10.934
mannose 1,0,0,1.7,0,0,0,0,0,0,14.69,14.79
mannose 2,0,0,1.7,0,0,0,0,0,0,15.14,15.24
psicose 1,0,0,1,0,0,0,0,0,0,14.19,14.29
psicose 2,0,0,1.8265,0,0,0,0,0,0,14.08139023,14.13139023
ribitol,0,0,1.8265,0,0,0,0,0,0,11.09139023,11.15139023
ribose 1,0,0,1.36,0,0,0,0,0,0,10.8175,10.848
ribulose 1,0,0,1.876,0,0,0,0,0,0,10.98,11.04
ribulose 2,0,0,1.876,0,0,0,0,0,0,11.02139023,11.05139023
sorbose,0,0,2.52,0,0,0,0,0,0,14.37,14.47
tagatose 1,0,0,0.705,0,0,0,0,0,0,14.22,14.32
tagatose 2,0,0,1.8265,0,0,0,0,0,0,14.14139023,14.17139023
talose 1,0,0,1.8265,0,0,0,0,0,0,14.84938023,14.86924023
talose 2,0,0,1.8265,0,0,0,0,0,0,15.38063523,15.40546023
tetradecane,None,0,None,0,None,0,0,0,0,7.044400235,7.094050235
tetrose_branched,None,0,None,0,None,0,0,0,0,None,None
threitol,0,0,1.53,0,0,0,0,0,0,8.46,8.49
threose 1,0,0,0.8,0,0,0,0,0,0,8.14,8.24
threose 2,0,0,0.8,0,0,0,0,0,0,8.27,8.37
xylose 1,0,0,1.6,0,0,0,0,0,0,10.786,10.8175
xylose 2,0,0,1.6,0,0,0,0,0,0,10.848,10.896
xylulose,0,0,1.876,0,0,0,0,0,0,10.94139023,10.99139023
,end_calibration,,,,,,,,,end_boundaries,
