Technique,GCMS,,,,,,,,,,
Date,2020_03_16,,,,,,,,,,
Method_file,Method 5,,,,,,,,,,
Instrument,GCv Agilent/JEOL,,,,,,,,,,
Column,HP-5MS,,,,,,,,,,
Derivatisation_details_GCMS,75 uL EtONH2.HCl; 30 mins @ 70 oC; 25 uL N;O-Bis(trimethylsilyl)trifluoroacetamide; 30 mins @ 70 oC; dilution to 200 uL with internal standard solution,,,,,,,,,,
internal_standard_concentration,0.0008,,,,,,,,,,
internal_standard_position,6.74,,,,,,,,,,
calibration_model,quadratic,,,,,,,,,,
,start_calibration,GCMS,,,,,,,,start_boundaries,
lyxose 1,0.056351778,0.000531144,0.152394734,0.002421033,-0.001096461,0,0,0,0,10.39,10.45
lyxose 2,0.093076679,0.007073888,1.671231731,0.032243838,-0.014602899,0,0,0,0,10.57,10.59
ribose 1,0.382434134,0.015035022,1.388839776,0.068542102,-0.031039691,0,0,0,0,10.712,10.716
ribulose 1,0.448668442,0.00419965,1.41E-09,0.011241092,-0.006631987,0,0,0,0,10.59,10.6
ribulose 2,0.303318374,0.002049312,2.98E-07,0.005485339,-0.003236224,0,0,0,0,10.68,10.71
xylose 1,0.056153668,0.000414455,0.23394681,0.001891999,-0.000856221,0,0,0,0,10.44,10.47
xylose 2,0.083670591,0.018349017,2.165183016,0.083763793,-0.037907157,0,0,0,0,10.52,10.54
xylulose 1,0.695713635,0.08059422,-0.17935152,0.367344256,-0.166370078,0,0,0,0,10.6,10.65
xylulose 2,0.292744004,0.08059422,-0.17935152,2.17E-09,-0.166370078,0,0,0,0,10.65,10.7
arabitol,0.198450311,0.007220343,1.990991427,0.033052615,-0.014937175,0,0,0,0,10.64,10.68
ribitol,5.66E-23,0.018176186,2.417816448,0.095084628,-0.038981705,0,0,0,0,10.75,10.81
xylitol,0.044226668,0.010450952,2.39653297,0.047897257,-0.021633156,0,0,0,0,10.46,10.5
dodecane,0,0,1,0,0,0,0,0,0,4.58792,4.63757
2-ketopentose_alpha_branch_RR,0.283404348,0.04060862,1.662698508,0.184641652,-0.083720185,0,0,0,0,13.02,13.15
2-ketopentose_alpha_branch_RS,0.283404348,0.04060862,1.662698508,0.184641652,-0.083720185,0,0,0,0,13.783,13.787
2-ketopentose_beta_branch,0.283404348,0.04060862,1.662698508,0.184641652,-0.083720185,0,0,0,0,None,None
3-ketohexose_RRS,0.283404348,0.04060862,1.662698508,0.184641652,-0.083720185,0,0,0,0,13.22,13.3
3-ketohexose_RSS,0.283404348,0.04060862,1.662698508,0.184641652,-0.083720185,0,0,0,0,13.56,13.62
3-ketohexose_SRS,0.283404348,0.04060862,1.662698508,0.184641652,-0.083720185,0,0,0,0,13.56,13.62
3-ketohexose_SSR,0.283404348,0.04060862,1.662698508,0.184641652,-0.083720185,0,0,0,0,13.56,13.62
3-ketohexose_SSS,0.283404348,0.04060862,1.662698508,0.184641652,-0.083720185,0,0,0,0,13.56,13.62
3-ketopentose_alpha_branch,0.283404348,0.04060862,1.662698508,0.184641652,-0.083720185,0,0,0,0,None,None
aldopentose_alpha_branch_RRR,0.283404348,0.04060862,1.662698508,0.184641652,-0.083720185,0,0,0,0,13.14,13.22
aldopentose_alpha_branch_RRS,0.283404348,0.04060862,1.662698508,0.184641652,-0.083720185,0,0,0,0,14.264,14.268
aldopentose_alpha_branch_RSR,0.283404348,0.04060862,1.662698508,0.184641652,-0.083720185,0,0,0,0,15.86,15.97
aldopentose_alpha_branch_RSS,0.283404348,0.04060862,1.662698508,0.184641652,-0.083720185,0,0,0,0,13.820934,13.83285
aldopentose_beta_branch_RRR,0.283404348,0.04060862,1.662698508,0.184641652,-0.083720185,0,0,0,0,13.99,14.02
aldopentose_beta_branch_RSR,0.283404348,0.04060862,1.662698508,0.184641652,-0.083720185,0,0,0,0,None,None
aldopentose_beta_branch_SRR,0.283404348,0.04060862,1.662698508,0.184641652,-0.083720185,0,0,0,0,None,None
aldopentose_beta_branch_SSR,0.283404348,0.04060862,1.662698508,0.184641652,-0.083720185,0,0,0,0,None,None
aldopentose_gamma_branch_RR,0.283404348,0.04060862,1.662698508,0.184641652,-0.083720185,0,0,0,0,None,None
aldopentose_gamma_branch_RS,0.283404348,0.04060862,1.662698508,0.184641652,-0.083720185,0,0,0,0,None,None
aldotetrose_alpha_beta_branch,0.283404348,0.04060862,1.662698508,0.184641652,-0.083720185,0,0,0,0,13.3,13.42
allose 1,0.008170263,0.028704205,2.372410398,0.130986791,-0.059288863,0,0,0,0,14.12,14.24
allose 2,0.084719896,0.000245013,0.232116358,0.001118074,-0.000506076,0,0,0,0,14.75,14.77
altrose 1,0.189504584,0.012127525,1.571083731,0.056440387,-0.025294287,0,0,0,0,14.44,14.47
altrose 2,0.07499203,0.000503639,0.302862021,0.00234389,-0.001050436,0,0,0,0,14.65,14.69
fructose,0.517414114,0.160299416,1.770543094,0.731408471,-0.331046577,0,0,0,0,14.0340311,14.056175
galactose 1,0.338256076,0.039448472,1.112297311,0.179897763,-0.081454409,0,0,0,0,14.35,14.37
galactose 2,0.118252246,0.002740404,0.183141371,0.012497125,-0.005658469,0,0,0,0,14.91,14.94
glucose 1,0.594825648,0.006174988,0.756307985,0.028148358,-0.012747683,0,0,0,0,14.602325,14.622185
glucose 2,0.144796431,0.00035682,0.025028893,0.001626543,-0.00073662,0,0,0,0,15.049175,15.074
gulose 1,0.297964542,0.023066558,1.930459496,0.105397052,-0.047675167,0,0,0,0,14.27,14.29
gulose 2,0.12563559,0.000138316,0.119340379,0.000632001,-0.000285879,0,0,0,0,14.87,14.89
idose 1,0.1209436,0.01185312,1.92401065,0.054020699,-0.024467133,0,0,0,0,14.32,14.38
idose 2,0.085941912,0.000542958,0.214771119,0.002474537,-0.001120771,0,0,0,0,14.96,14.98
mannose 1,0.54687573,0.104184226,1.146927243,0.476612012,-0.216037403,0,0,0,0,14.36897,14.38883
mannose 2,0.086294158,0.001050416,0.06412843,0.004805344,-0.002178154,0,0,0,0,14.80589,14.83568
psicose 1,0.168073268,0.001102758,0.749139281,0.005028861,-0.002276993,0,0,0,0,13.62,13.66
psicose 2,4.57E-09,0.027227995,1.756798805,0.124166631,-0.056220784,0,0,0,0,13.74,13.79
sorbose,0.090691787,0.038905914,2.318488199,0.173804539,-0.079062891,0,0,0,0,13.93,13.98
tagatose 1,0.261321973,0.002975891,0.394985616,0.012144672,-0.005786116,0,0,0,0,13.51,13.53
tagatose 2,0.326853979,0.013159364,1.292362691,0.053703629,-0.025586154,0,0,0,0,13.8,13.83
talose 1,0.369351845,0.022151658,2.000692499,0.10111349,-0.045760875,0,0,0,0,14.50799,14.52785
talose 2,0.10174183,0.000649293,0.189670297,0.002963765,-0.001341309,0,0,0,0,15.039245,15.06407
polyol 1,None,None,None,None,None,None,None,None,None,12.58,12.64
polyol 2,None,None,None,None,None,None,None,None,None,12.7,12.74
polyol 3,None,None,None,None,None,None,None,None,None,16.744,16.748
polyol 4,None,None,None,None,None,None,None,None,None,16.78,18.82
sorbitol,0.774034539,0.002276278,0.304540131,0.010405957,-0.004708619,0,0,0,0,14.26,14.32
tetradecane,0,0,1,0,0,0,0,0,0,6.70301,6.75266
alphaDglycerogalactoheptose 1,0.298304647,0.033168595,1.120641682,0.151589624,-0.068562221,0,0,0,0,18.65,18.67
alphaDglycerogalactoheptose 2,0.136193557,0.002971257,0.125982341,0.013579466,-0.006141834,0,0,0,0,19.26,19.28
galactoheptose 1,3.96E-23,0.012710323,1.697788998,0.173764931,-0.043727136,0,0,0,0,18.84,18.87
galactoheptose 2,3.50E-10,0.000456256,0.291103734,0.006237554,-0.001569651,0,0,0,0,19.29,19.32
maltitol,None,None,None,None,None,None,None,None,None,22.08,22.1
,end_calibration,,,,,,,,,end_boundaries,
